,slide,nb_support,DICE(%),IOU(%),gt,score,nb_query
198,20114.svs,2684980,86.33,75.94,1,[0.99902515 0.99329009 0.97963345 0.95277365 0.94299186],2685053
199,20114.svs,2684980,87.61,77.95,1,[0.99925159 0.99599344 0.98773889 0.96931098 0.94075559],2685032
200,20114.svs,2684980,79.68,66.22,1,[0.9998641  0.99626049 0.98296725 0.91086136 0.89418837],2685007
201,20114.svs,2684980,84.69,73.44,1,[0.99982558 0.99717787 0.98884045 0.97732875 0.97928339],2684980
202,20114.svs,2684980,84.0,72.42,1,[0.99739202 0.99202881 0.97467089 0.89133543 0.88384209],2684951
203,20114.svs,2684980,92.07,85.31,1,[0.99783262 0.99365022 0.9785242  0.89212425 0.8192169 ],2684930
204,20114.svs,2684980,78.29,64.33,1,[0.99961938 0.99543292 0.97776633 0.91842796 0.91182435],2684911
205,20114.svs,2684980,82.86,70.73,1,[0.99943167 0.9944864  0.98218756 0.94948219 0.93311031],2684888
206,20114.svs,2684980,81.41,68.66,1,[0.99898817 0.99479249 0.97670007 0.93011489 0.92027336],2684853
207,20114.svs,2684980,88.32,79.09,1,[0.99479381 0.99345853 0.98151305 0.92294289 0.8676133 ],2684832
208,20114.svs,2684980,85.66,74.92,1,[0.99935478 0.99256125 0.97089053 0.92284044 0.92334372],2684781
209,20114.svs,2684980,87.22,77.34,1,[0.99850201 0.9851101  0.96662575 0.90606336 0.89695651],2684761
210,20114.svs,2684761,65.6,48.81,0,[0.9911128  0.94820211 0.92027981 0.79238897 0.36697598],2721341
211,20114.svs,2684761,91.01,83.5,0,[0.99948479 0.99590159 0.98169599 0.90186895 0.87915402],2721292
212,20114.svs,2684761,89.59,81.15,0,[0.99941831 0.99469038 0.97421685 0.88729926 0.75089199],2721263
213,20114.svs,2684761,68.34,51.91,0,[0.99543997 0.98345692 0.9240495  0.69573362 0.32887984],2721242
214,20114.svs,2684761,61.92,44.85,0,[0.99406317 0.97813398 0.93117163 0.7245633  0.43904773],2721223
215,20114.svs,2684761,81.97,69.45,0,[0.99925964 0.9920622  0.96652584 0.84503753 0.52199635],2721202
216,20114.svs,2684761,71.25,55.34,0,[0.92551133 0.94077528 0.9418596  0.77032234 0.54046611],2721173
217,20114.svs,2684761,80.33,67.13,0,[0.99709507 0.99225762 0.96064422 0.7905769  0.7062668 ],2721154
218,20114.svs,2684761,71.94,56.17,0,[0.99733539 0.99357661 0.98056543 0.90964085 0.85571837],2721127
219,20114.svs,2684761,85.0,73.91,0,[0.99858802 0.98574576 0.93500561 0.81770208 0.65308195],2721074
220,20114.svs,2684761,85.97,75.4,0,[0.99477898 0.98129404 0.96087329 0.83815951 0.63553634],2721055
221,20114.svs,2684761,89.42,80.87,1,[0.99157065 0.98873233 0.97460509 0.89965937 0.87551161],2689939
222,20114.svs,2684761,84.22,72.75,1,[0.99968901 0.99482399 0.98053278 0.93537068 0.90977019],2689910
223,20114.svs,2684761,73.49,58.08,1,[0.99854686 0.99421848 0.9759658  0.89474749 0.85157433],2689869
224,20114.svs,2684761,87.01,77.01,1,[0.99799064 0.99280582 0.97484572 0.87772562 0.82408628],2689850
225,20114.svs,2684761,66.88,50.24,1,[0.99634832 0.99327871 0.96927862 0.84285182 0.71138921],2689827
226,20114.svs,2684761,81.81,69.22,1,[0.99781648 0.99323683 0.98480257 0.95952952 0.96850898],2685119
227,20114.svs,2684761,84.8,73.61,1,[0.9988283  0.99551345 0.97368208 0.86591071 0.80063787],2685074
228,20114.svs,2684761,88.28,79.01,1,[0.99979183 0.99550618 0.97595952 0.93305278 0.89769989],2685053
229,20114.svs,2684761,87.58,77.91,1,[0.99887941 0.99301134 0.97816587 0.93473839 0.88246925],2685032
230,20114.svs,2684761,79.79,66.37,1,[0.99924759 0.99414559 0.98246817 0.90783209 0.89333713],2685007
231,20114.svs,2684761,85.63,74.86,1,[0.99872573 0.99070008 0.97470034 0.91621289 0.92164675],2684980
232,20114.svs,2684761,86.9,76.84,1,[0.99885437 0.99171736 0.96870279 0.88610762 0.91047874],2684951
233,20114.svs,2684761,83.7,71.97,1,[0.99966979 0.99485537 0.97806408 0.91763591 0.87355548],2684930
234,20114.svs,2684761,81.64,68.97,1,[0.99904556 0.99402342 0.97748531 0.93166452 0.91294628],2684911
235,20114.svs,2684761,86.85,76.76,1,[0.99977092 0.99538623 0.98202007 0.95103554 0.92713622],2684888
236,20114.svs,2684761,82.71,70.52,1,[0.99706285 0.98923766 0.96967503 0.9075625  0.95020014],2684853
237,20114.svs,2684761,91.45,84.25,1,[0.99576781 0.99141297 0.97877501 0.914932   0.89118311],2684832
238,20114.svs,2684761,91.24,83.9,1,[0.99929646 0.99412015 0.98004656 0.93991325 0.93389534],2684781
